,index,content,Final,content_seg,content_clean,content_clean_chs_only,content_clean_chs_only_s,content_clean_s,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,15649,天呐都那么早,0,天呐 都 那么 早,天呐 早,天呐 早,天呐 早,天呐 早,0.03334757313132286,0.03334757313132286,0.03334757313132286,0.03334757313132286,0.5331339836120605,0.03334757313132286,0.03334757313132286,0.03334757313132286,0.03334757313132286,0.03334757313132286,0.03334757313132286,0.03334757313132286,0.03334757313132286,0.03334757313132286,0.03334757313132286
1,10676,我女儿 一岁半会叫妈妈 爸爸 奶奶 阿姨 会说要和不要这些 会听指令 比如把垃圾拿去垃圾桶 奶瓶在床上 去拿来冲奶 但是自从我和老婆去上班后 她在家奶奶带 慢慢的什么都不会说了 也不听指令 很少目光对视 走路还踮脚尖还喜欢乱跑 不和别的孩子玩 奶奶带只要孩子闹就给她看动画片 一天最少看5六个小时 特别喜欢看儿歌动画片 会自己找到儿歌的那个app 会点喜欢的那首儿歌 看过医生 说可能是自闭症 我该怎么办?? 这个会不会是手机害的 。。。。,0,我 女儿   一岁 半会 叫 妈妈   爸爸   奶奶   阿姨   会 说 要 和 不要 这些   会 听 指令   比如 把 垃圾 拿 去 垃圾桶   奶瓶 在 床上   去 拿来 冲奶   但是 自从 我 和 老婆 去 上班 后   她 在家 奶奶 带   慢慢 的 什么 都 不会 说 了   也 不 听 指令   很少 目光 对视   走路 还 踮 脚尖 还 喜欢 乱跑   不 和 别的 孩子 玩   奶奶 带 只要 孩子 闹 就 给 她 看 动画片   一天 最少 看 5 六个 小时   特别 喜欢 看 儿歌 动画片   会 自己 找到 儿歌 的 那个 app   会 点 喜欢 的 那首 儿歌   看过 医生   说 可能 是 自闭症   我该 怎么办 ? ?   这个 会 不会 是 手机 害 的   。 。 。 。,女儿 一岁 半会 妈妈 爸爸 奶奶 阿姨 说 听 指令 垃圾 垃圾桶 奶瓶 床上 拿来 冲奶 老婆 上班 在家 奶奶 慢慢 说 听 指令 目光 对视 走路 踮 脚尖 喜欢 乱跑 孩子 玩 奶奶 孩子 闹 动画片 最少 六个 小时 特别 喜欢 儿歌 动画片 找到 儿歌 app 点 喜欢 那首 儿歌 看过 医生 说 自闭症 我该 手机 害,女儿 一岁 半会 妈妈 爸爸 奶奶 阿姨 说 听 指令 垃圾 垃圾桶 奶瓶 床上 拿来 冲奶 老婆 上班 在家 奶奶 慢慢 说 听 指令 目光 对视 走路 踮 脚尖 喜欢 乱跑 孩子 玩 奶奶 孩子 闹 动画片 最少 六个 小时 特别 喜欢 儿歌 动画片 找到 儿歌 点 喜欢 那首 儿歌 看过 医生 说 自闭症 我该 手机 害,女儿 一岁 半会 妈妈 爸爸 奶奶 阿姨 会 说 不要 会 听 指令 垃圾 垃圾桶 奶瓶 床上 拿来 冲奶 老婆 上班 在家 奶奶 带 慢慢 不会 说 听 指令 很少 目光 对视 走路 踮 脚尖 喜欢 乱跑 孩子 玩 奶奶 带 孩子 闹 动画片 一天 最少 六个 小时 特别 喜欢 儿歌 动画片 会 找到 儿歌 会 点 喜欢 那首 儿歌 看过 医生 说 可能 自闭症 我该 会 不会 手机 害,女儿 一岁 半会 妈妈 爸爸 奶奶 阿姨 会 说 不要 会 听 指令 垃圾 垃圾桶 奶瓶 床上 拿来 冲奶 老婆 上班 在家 奶奶 带 慢慢 不会 说 听 指令 很少 目光 对视 走路 踮 脚尖 喜欢 乱跑 孩子 玩 奶奶 带 孩子 闹 动画片 一天 最少 六个 小时 特别 喜欢 儿歌 动画片 会 找到 儿歌 app 会 点 喜欢 那首 儿歌 看过 医生 说 可能 自闭症 我该 会 不会 手机 害,0.0013608908047899604,0.001360891736112535,0.0013608915032818913,0.0013608923181891441,0.0013608906883746386,0.0013608912704512477,0.0013608911540359259,0.9809474945068359,0.0013608912704512477,0.001360891736112535,0.0013608908047899604,0.0013608923181891441,0.0013608911540359259,0.0013608922017738223,0.0013608915032818913
2,32170,楼主，想请教你怎么教宝宝应名呀？,0,楼主 ， 想 请教 你 怎么 教 宝宝 应名 呀 ？,楼主 想 请教 教 宝宝 应名,楼主 想 请教 教 宝宝 应名,楼主 想 请教 教 宝宝 应名,楼主 想 请教 教 宝宝 应名,0.013335075229406357,0.013335106894373894,0.013335088267922401,0.013335109688341618,0.8133086562156677,0.01333507988601923,0.01333509013056755,0.013335103169083595,0.013335094787180424,0.013335099443793297,0.013335085473954678,0.013335087336599827,0.013335112482309341,0.013335095718502998,0.013335115276277065
3,27484,有这两点，基本就可以确诊为自闭症了吧？1）3岁不会说话。 2）不应名。,0,有 这两点 ， 基本 就 可以 确诊 为 自闭症 了 吧 ？ 1 ） 3 岁 不会 说话 。   2 ） 不应名 。,这两点 确诊 自闭症 岁 说话 不应名,这两点 确诊 自闭症 岁 说话 不应名,这两点 基本 确诊 自闭症 岁 不会 说话 不应名,这两点 基本 确诊 自闭症 岁 不会 说话 不应名,0.011114123277366161,0.011114128865301609,0.011114130727946758,0.011114141903817654,0.011114132590591908,0.011114118620753288,0.011114121414721012,0.011114140972495079,0.8444021344184875,0.011114130727946758,0.011114130727946758,0.011114141903817654,0.01111412514001131,0.011114122346043587,0.011114122346043587
4,35979,这几天宝宝学会大小便提醒大人了，想拉臭臭时会说粑粑，想尿尿会说尿尿，宝贝会在不经意间给我惊喜。路还很长，擦干眼泪一起加油！,0,这 几天 宝宝 学会 大小便 提醒 大人 了 ， 想拉 臭臭 时会 说 粑 粑 ， 想尿尿会 说 尿 尿 ， 宝贝 会 在 不经意 间 给 我 惊喜 。 路 还 很长 ， 擦干 眼泪 一起 加油 ！,几天 宝宝 学会 大小便 提醒 大人 想拉 臭臭 时会 说 粑 粑 想尿尿会 说 尿 尿 宝贝 间 惊喜 路 很长 擦干 眼泪 加油,几天 宝宝 学会 大小便 提醒 大人 想拉 臭臭 时会 说 粑 粑 想尿尿会 说 尿 尿 宝贝 间 惊喜 路 很长 擦干 眼泪 加油,几天 宝宝 学会 大小便 提醒 大人 想拉 臭臭 时会 说 粑 粑 想尿尿会 说 尿 尿 宝贝 会 不经意 间 惊喜 路 很长 擦干 眼泪 一起 加油,几天 宝宝 学会 大小便 提醒 大人 想拉 臭臭 时会 说 粑 粑 想尿尿会 说 尿 尿 宝贝 会 不经意 间 惊喜 路 很长 擦干 眼泪 一起 加油,0.003922356758266687,0.9450869560241699,0.003922358155250549,0.0039223614148795605,0.003922357223927975,0.003922356758266687,0.003922359086573124,0.003922359552234411,0.003922358155250549,0.003922358620911837,0.0039223562926054,0.003922357223927975,0.003922359552234411,0.003922358620911837,0.003922357223927975
5,12380,有语言吗,0,有 语言 吗,语言,语言,语言,语言,0.03333388268947601,0.0333339162170887,0.03333388641476631,0.033333927392959595,0.03333389759063721,0.5333253741264343,0.03333387151360512,0.033333923667669296,0.033333923667669296,0.03333388268947601,0.033333919942379,0.03333388641476631,0.03333395719528198,0.033333878964185715,0.033333856612443924
6,34243,楼主快更新啊,0,楼主 快 更新 啊,楼主 更新,楼主 更新,楼主 快 更新,楼主 快 更新,0.022223396226763725,0.022223427891731262,0.022223418578505516,0.02222341299057007,0.022223439067602158,0.02222340926527977,0.022223401814699173,0.02222340553998947,0.02222341112792492,0.02222340926527977,0.6888721585273743,0.02222341112792492,0.02222343347966671,0.02222340553998947,0.02222346141934395
7,28968,408341374@qq.com谢谢了,0,408341374 @ qq . com 谢谢 了,408341374 qq com 谢谢,谢谢,谢谢,408341374 qq com 谢谢,0.013335528783500195,0.013335536234080791,0.8133022785186768,0.013335557654500008,0.013335592113435268,0.013335551135241985,0.013335557654500008,0.013335542753338814,0.013335554860532284,0.013335573486983776,0.013335535302758217,0.013335545547306538,0.013335554860532284,0.013335533440113068,0.013335536234080791
8,52163,看不出哪里不正常,0,看不出 哪里 不 正常,看不出,看不出,看不出 正常,看不出 正常,0.03334306925535202,0.03334306925535202,0.03334306925535202,0.03334306925535202,0.0333433672785759,0.03334306925535202,0.5331966876983643,0.03334306925535202,0.03334306925535202,0.03334306925535202,0.03334306925535202,0.03334306925535202,0.0333431251347065,0.03334306925535202,0.03334306925535202
9,32146,楼主，你家宝宝现在怎么样了,0,楼主 ， 你家 宝宝 现在 怎么样 了,楼主 你家 宝宝,楼主 你家 宝宝,楼主 你家 宝宝 现在,楼主 你家 宝宝 现在,0.01666725054383278,0.016667289659380913,0.016667263582348824,0.7666582465171814,0.01666729710996151,0.016667256131768227,0.016667261719703674,0.016667257994413376,0.016667263582348824,0.016667259857058525,0.016667284071445465,0.016667263582348824,0.016667289659380913,0.016667254269123077,0.016667302697896957
