no,id,title,Category
Thread17,4927165824,有没有有经验的家长可以来分享一下怎么做才能使孩子变得更好,0
Thread30,4930934373,请教各位有自闭症孩子的家长……,0
Thread35,4932980179,闭儿发烧了,0
Thread92,4948806428,好心人帮帮我，我该何去何从,0
Thread101,4953447938,求助我儿到底是不是自闭症,0
Thread103,4953722497,佛教的因果说的是什么？,3
Thread104,4953774269,女儿三个半月不看人，喊她没反应，是自闭倾向吗？,0
Thread111,4958463828,我的宝宝医生说有自闭症,0
Thread140,4963214200,【孤独症】吧招聘图片小编，预报从速！,1
Thread150,4964483782,为什么我会不觉得亲朋好友有多么重要,0
Thread258,4993050289,每周六晚自闭症公益讲座培训，有需要➕v信,1
Thread284,5001335809,孩子得了自闭症怎么办,0
Thread442,5042219426,自闭症家长社群。,2
Thread471,5050791198,关爱星娃，为爱携手,0
Thread490,5056933094,拿到评估结果，如何在家里给孩子做训练？,0
Thread544,5069012056,是自闭症吗,0
Thread567,5071207062,星智自然训练寓教于乐实践课,1
Thread568,5071211742,儿童自闭症康复训练技巧,0
Thread581,5075234038,5招解决孩子语言发育迟缓,0
Thread604,5081774882,《观世音菩萨普门品》忌五辛忌烟酒肉！虔诚念诵！千万莫攀缘精进,3
Thread608,5082025401,有人愿意跟我一起去流浪吗？北京出发，随便去哪里,4
Thread697,5107182570,求帮忙妹妹自闭症如何治疗,0
Thread748,5117756170,当初1岁4个月，怀疑，现在1岁9个月了，还怀疑？,0
Thread801,5131060280,求助,0
Thread821,5137078877,迷茫!下周去北京转机构，有没有,0
Thread840,5145185019,自闭症可以这样治疗,0
Thread873,5157744538,儿子经检查孤独症，求有经验的宝爸宝妈帮忙。,0
Thread881,5160373517,我感觉我快疯了,0
Thread888,5163301055,优 酷网圣 贤教育陈 大 惠老,4
Thread900,5166754292,催眠术可以唤醒星星世界的孩子不,3
Thread931,5176708209,杜佳楣：大龄自闭症孩子要不要继续做训练,1
Thread1029,5214191200,武汉哪里有好的康复机构？请告知，谢谢！,0
Thread1052,5223610890,见证｜花3年教自闭症儿子上厕所,0
Thread1092,5231776148,自闭症的宝宝会有嫉妒心吗？,0
Thread1094,5231924110,自闭症儿童语言康复训练的误区（您是否也出现了这些问题呢？）,0
Thread1127,5240683972,有没有做过vb-mapp评估的，怎么样？,0
Thread1144,5243605586,儿子两岁七个月  很多话突然不说了！,0
