no,id,title,Category,title_seg,title_clean
Thread17,4927165824.0,有没有有经验的家长可以来分享一下怎么做才能使孩子变得更好,0,有没有 有 经验 的 家长 可以 来 分享 一下 怎么 做 才能 使 孩子 变得 更好,有没有 经验 家长 分享 做 孩子 变得 更好
Thread30,4930934373.0,请教各位有自闭症孩子的家长……,0,请教 各位 有 自闭症 孩子 的 家长 … …,请教 自闭症 孩子 家长
Thread35,4932980179.0,闭儿发烧了,0,闭儿 发烧 了,闭儿 发烧
Thread92,4948806428.0,好心人帮帮我，我该何去何从,0,好心人 帮帮我 ， 我该 何去何从,好心人 帮帮我 我该 何去何从
Thread101,4953447938.0,求助我儿到底是不是自闭症,0,求助 我儿 到底 是不是 自闭症,求助 我儿 自闭症
Thread103,4953722497.0,佛教的因果说的是什么？,3,佛教 的 因果 说 的 是 什么 ？,佛教 因果 说
Thread104,4953774269.0,女儿三个半月不看人，喊她没反应，是自闭倾向吗？,0,女儿 三个 半月 不看 人 ， 喊 她 没 反应 ， 是 自闭 倾向 吗 ？,女儿 三个 半月 不看 喊 自闭 倾向
Thread111,4958463828.0,我的宝宝医生说有自闭症,0,我 的 宝宝 医生 说 有 自闭症,宝宝 医生 说 自闭症
Thread140,4963214200.0,【孤独症】吧招聘图片小编，预报从速！,1,【 孤独症 】 吧 招聘 图片 小编 ， 预报 从速 ！,孤独症 招聘 图片 小编 预报
Thread150,4964483782.0,为什么我会不觉得亲朋好友有多么重要,0,为什么 我会 不 觉得 亲朋好友 有 多么 重要,我会 亲朋好友
Thread258,4993050289.0,每周六晚自闭症公益讲座培训，有需要➕v信,1,每周六 晚 自闭症 公益 讲座 培训 ， 有 需要 ➕ v 信,每周六 晚 自闭症 公益 讲座 培训 信
Thread284,5001335809.0,孩子得了自闭症怎么办,0,孩子 得 了 自闭症 怎么办,孩子 自闭症
Thread442,5042219426.0,自闭症家长社群。,2,自闭症 家长 社群 。,自闭症 家长 社群
Thread471,5050791198.0,关爱星娃，为爱携手,0,关爱 星娃 ， 为 爱 携手,关爱 星娃 爱 携手
Thread490,5056933094.0,拿到评估结果，如何在家里给孩子做训练？,0,拿到 评估 结果 ， 如何 在 家里 给 孩子 做 训练 ？,拿到 评估 家里 孩子 做 训练
